symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VNM.VN')","('high', 'VNM.VN')","('low', 'VNM.VN')","('close', 'VNM.VN')","('volume', 'VNM.VN')"
VNM,2018-06-11,85020.0,87420.0,84770.0,86500.0,721050.0,,,,,,
VNM,2018-06-12,85960.0,86930.0,85480.0,86930.0,873690.0,,,,,,
VNM,2018-06-13,86930.0,86930.0,86170.0,86930.0,472470.0,,,,,,
VNM,2018-06-14,86500.0,86930.0,85830.0,86470.0,767750.0,,,,,,
VNM,2018-06-15,85780.0,86680.0,85480.0,86470.0,1114730.0,,,,,,
VNM,2018-06-18,85540.0,86370.0,82960.0,82960.0,356320.0,,,,,,
VNM,2018-06-19,82600.0,82600.0,79300.0,79870.0,1076550.0,,,,,,
VNM,2018-06-20,79720.0,81550.0,79610.0,81070.0,569890.0,,,,,,
VNM,2018-06-21,81070.0,81900.0,80680.0,81660.0,381390.0,,,,,,
VNM,2018-06-22,80920.0,85720.0,80920.0,85480.0,1123650.0,,,,,,
VNM,2018-06-25,87420.0,87420.0,85720.0,86070.0,637320.0,,,,,,
VNM,2018-06-26,84770.0,85480.0,83570.0,84490.0,250240.0,,,,,,
VNM,2018-06-27,83850.0,84490.0,83850.0,84060.0,320100.0,,,,,,
VNM,2018-06-28,83570.0,83850.0,81170.0,81660.0,748160.0,,,,,,
VNM,2018-06-29,81660.0,82850.0,81660.0,81660.0,1164710.0,,,,,,
VNM,2018-07-02,81660.0,82130.0,81170.0,82130.0,974640.0,,,,,,
VNM,2018-07-03,81660.0,81710.0,81170.0,81660.0,1055480.0,,,,,,
VNM,2018-07-04,81660.0,81660.0,80210.0,80210.0,856350.0,,,,,,
VNM,2018-07-05,80210.0,80680.0,78760.0,79250.0,880690.0,,,,,,
VNM,2018-07-06,78760.0,81660.0,78760.0,79720.0,449020.0,,,,,,
VNM,2018-07-09,81110.0,81420.0,80110.0,80210.0,320530.0,,,,,,
VNM,2018-07-10,80210.0,81110.0,80210.0,80210.0,701800.0,,,,,,
VNM,2018-07-11,80210.0,80920.0,79720.0,80210.0,729620.0,,,,,,
VNM,2018-07-12,80210.0,81070.0,80210.0,80830.0,158530.0,,,,,,
