symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VHM.VN')","('high', 'VHM.VN')","('low', 'VHM.VN')","('close', 'VHM.VN')","('volume', 'VHM.VN')"
VHM,2019-01-02,53700.0,53700.0,52970.0,53550.0,334420.0,,,,,,
VHM,2019-01-03,52530.0,53330.0,52090.0,53330.0,475210.0,,,,,,
VHM,2019-01-04,52460.0,54280.0,51660.0,53910.0,277640.0,,,,,,
VHM,2019-01-07,54350.0,54350.0,53400.0,54060.0,186030.0,,,,,,
VHM,2019-01-08,53910.0,54060.0,53260.0,54060.0,205460.0,,,,,,
VHM,2019-01-09,54280.0,54280.0,53910.0,54060.0,92720.0,,,,,,
VHM,2019-01-10,54280.0,54350.0,53550.0,54350.0,108550.0,,,,,,
VHM,2019-01-11,54570.0,55810.0,54420.0,55810.0,241490.0,,,,,,
VHM,2019-01-14,56830.0,56830.0,55810.0,56320.0,193920.0,,,,,,
VHM,2019-01-15,56100.0,58210.0,56100.0,58210.0,297510.0,,,,,,
VHM,2019-01-16,58210.0,59740.0,57630.0,58500.0,327390.0,,,,,,
VHM,2019-01-17,58940.0,59160.0,58140.0,58140.0,214330.0,,,,,,
VHM,2019-01-18,58580.0,59090.0,57560.0,58650.0,289350.0,,,,,,
VHM,2019-01-21,59010.0,59010.0,58290.0,58650.0,411510.0,,,,,,
VHM,2019-01-22,58720.0,59010.0,57990.0,57990.0,285720.0,,,,,,
VHM,2019-01-23,58210.0,58290.0,57560.0,57990.0,214610.0,,,,,,
VHM,2019-01-24,57990.0,57990.0,56830.0,57410.0,176750.0,,,,,,
VHM,2019-01-25,57190.0,57340.0,56460.0,56830.0,226260.0,,,,,,
VHM,2019-01-28,58290.0,58720.0,56680.0,58720.0,284550.0,,,,,,
VHM,2019-01-29,59380.0,59380.0,58650.0,59380.0,334250.0,,,,,,
VHM,2019-01-30,58580.0,59740.0,58580.0,59740.0,246940.0,,,,,,
VHM,2019-01-31,59740.0,59740.0,57990.0,58290.0,773010.0,,,,,,
VHM,2019-02-01,58290.0,58290.0,57990.0,58290.0,974540.0,,,,,,
VHM,2019-02-11,59010.0,59010.0,57990.0,58210.0,353110.0,,,,,,
VHM,2019-02-12,58580.0,58580.0,57920.0,58290.0,531210.0,,,,,,
VHM,2019-02-13,58360.0,58870.0,57780.0,58290.0,506510.0,,,,,,
VHM,2019-02-14,58580.0,60180.0,58360.0,59670.0,971710.0,,,,,,
VHM,2019-02-15,59740.0,59740.0,59090.0,59160.0,422250.0,,,,,,
VHM,2019-02-18,59380.0,59740.0,58870.0,59740.0,607000.0,,,,,,
VHM,2019-02-19,60110.0,63900.0,60110.0,63390.0,1244300.0,,,,,,
VHM,2019-02-20,63390.0,66150.0,63390.0,65860.0,815580.0,,,,,,
VHM,2019-02-21,65940.0,70450.0,64989.0,70450.0,1209870.0,,,,,,
VHM,2019-02-22,69210.0,70310.0,67540.0,67830.0,950950.0,,,,,,
VHM,2019-02-25,68850.0,69290.0,66520.0,67030.0,838040.0,,,,,,
VHM,2019-02-26,67030.0,67760.0,65570.0,67030.0,1103360.0,,,,,,
VHM,2019-02-27,67760.0,67980.0,66660.0,67540.0,896260.0,,,,,,
VHM,2019-02-28,67100.0,67250.0,63750.0,63750.0,1270190.0,,,,,,
VHM,2019-03-01,64480.0,66590.0,63750.0,66300.0,806340.0,,,,,,
VHM,2019-03-04,67030.0,68120.0,65280.0,67900.0,910620.0,,,,,,
VHM,2019-03-05,67170.0,67680.0,65940.0,66300.0,1152650.0,,,,,,
VHM,2019-03-06,66300.0,66960.0,66150.0,66880.0,592410.0,,,,,,
VHM,2019-03-07,67030.0,69430.0,66960.0,67030.0,1306970.0,,,,,,
VHM,2019-03-08,67030.0,67680.0,66590.0,66660.0,699850.0,,,,,,
VHM,2019-03-11,66300.0,67250.0,65570.0,65570.0,533740.0,,,,,,
VHM,2019-03-12,66450.0,67470.0,66230.0,67250.0,864570.0,,,,,,
